year,AVG(VOLUME),STOCK
1999,57857037.5,AMZN
2000,42442453.8461539,AMZN
2001,40452655.7692308,AMZN
2002,40454271.1538462,AMZN
2003,43714636.5384615,AMZN
2004,40806567.9245283,AMZN
2005,34720873.0769231,AMZN
2006,34444271.1538462,AMZN
2007,46371627.9423077,AMZN
2008,48155048.0769231,AMZN
2009,40881994.3396226,AMZN
2010,35326663.4615385,AMZN
2011,28076511.5384615,AMZN
2012,20124713.4615385,AMZN
2013,14362328.8461538,AMZN
2014,19736463.1923077,AMZN
2015,18192562.1132076,AMZN
2016,19976055.1153846,AMZN
2017,16703184.4615385,AMZN
2018,26969993.4230769,AMZN
2019,18815052.3269231,AMZN
2020,23654559.0566038,AMZN
2021,16799724.6176471,AMZN
2010,6002196.15384615,TSLA
2011,6254521.15384615,TSLA
2012,5901040.38461539,TSLA
2013,40588671.1538462,TSLA
2014,33514914.2884615,TSLA
2015,20657085.7924528,TSLA
2016,22350159.5576923,TSLA
2017,30263102.6153846,TSLA
2018,41346899.1153846,TSLA
2019,44065117.6153846,TSLA
2020,142705568.0,TSLA
2021,139406290.117647,TSLA
2013,88076642.8571429,TWTR
2014,113118116.461538,TWTR
2015,101972691.150943,TWTR
2016,124461400.807692,TWTR
2017,84325143.7307692,TWTR
2018,137115674.365385,TWTR
2019,74649662.0192308,TWTR
2020,93925823.1698113,TWTR
2021,85705494.9411765,TWTR
